"Event ID";Firm;"Reference Market";"Event Date";"Analysis Report";"Estimation Window Length";"End of Estimation Window";"First Date Estimation Window";"Last Date Estimation Window";"Actual Stock Return";"Actual Market Return";Alpha;Beta;"Residual Standard Deviation";"Expected Market Return";"First-order Autocorellation"
;"Overarching comments";;;"Analysis performed successfully";;;;;;;;;;;
23473;Cincinnati;SP500;1997-12-16;"Analysis performed successfully";120;-11;1997-06-12;1997-12-01;0.030269058295964;0.0048270047212751;0.0019881085245134;0.35805784022816;0.013008710964287;0.0037164554097843;-0.16763276220153
49680;Danaher;SP500;1998-11-11;"Analysis performed successfully";120;-11;1998-05-08;1998-10-27;0;-0.0064609998681445;-0.0036902299715627;0.89431673405647;0.052294740284513;-0.009468410272381;-0.024665118765578
57904;AFLAC;SP500;1999-04-26;"Analysis performed with warnings: The event window seems to include an unexpected number of days the firm's stock has not been traded on";120;-11;1998-10-16;1999-04-09;-0.015587529976019;0.0023510013122905;0.0027246372130744;0.26041608887649;0.027721839789339;0.0033368757797646;-0.044665304314176
64390;"Progressive ";SP500;1997-07-25;"Analysis performed successfully";120;-11;1997-01-20;1997-07-10;-0.0031328320802005;-0.0015849952062076;0.001814437601004;0.58493250564718;0.014767206936769;0.00088732238359824;0.024041818437274
70500;"Coca-Cola Enterprises";SP500;1998-10-01;"Analysis performed successfully";120;-11;1998-03-27;1998-09-16;-0.094059405940594;-0.030108001184019;-0.001936037374101;0.69058665291552;0.021442332965215;-0.022728221137749;0.037555526467091
75154;Carnival;SP500;1998-12-10;"Analysis performed successfully";120;-11;1998-06-08;1998-11-24;-0.021069692058347;-0.015606000627621;-0.0041291069745556;1.3652336654572;0.056862290665038;-0.02543494441453;0.023190037823032
75510;"Adobe Systems";SP500;1997-04-30;"Analysis performed successfully";120;-11;1996-10-23;1997-04-15;0.016233766233766;0.009180998301316;0.0015091843156973;0.94742188861223;0.028398622911086;0.010207463065676;0.10349774574659
75573;"Office Depot";SP500;1999-06-02;"Analysis performed successfully";120;-11;1998-11-23;1999-05-17;-0.0059523809523809;0.00042500307897808;-0.0034371955122611;0.69945288444668;0.047331794683567;-0.0031399258827712;0.11886052649143
76149;Safeway;SP500;1998-11-05;"Analysis performed successfully";120;-11;1998-05-04;1998-10-21;-0.029562982005141;0.013569998623079;0.0015074074214146;0.69423358641136;0.019900747991938;0.010928156233112;-0.017467054002338
77178;Qualcomm;SP500;1999-07-08;"Analysis performed successfully";120;-11;1998-12-30;1999-06-22;0.02017032720753;-0.0010319982940097;0.0092943467600479;2.2926372548548;0.069043659216252;0.0069283490242546;0.019295502076872
77659;"Bed Bath And Beyond";SP500;1999-09-20;"Analysis performed with warnings: The event window seems to include an unexpected number of days the firm's stock has not been traded on";120;-11;1999-03-16;1999-09-02;0.017621145374449;8.1998248525395E-5;-0.00088209305661256;1.0469066944715;0.031715013603668;-0.00079624854129639;-0.088233311979902
82643;Lexmark;SP500;1999-08-09;"Analysis performed with warnings: The event window seems to include an unexpected number of days the firm's stock has not been traded on";120;-11;1999-02-02;1999-07-23;-0.015655577299413;-0.0019150025708274;-0.0035809117507433;1.7021580339919;0.055888874170949;-0.0068405487617923;0.14583514931203
82686;"Citrix Systems";SP500;1999-10-29;"Analysis performed successfully";120;-11;1999-04-27;1999-10-14;0.03531786074672;0.015262995387887;0.0048535229183925;2.0933557778457;0.030979171294143;0.036804402500858;-0.086586478677483
83435;Yahoo;SP500;1999-11-30;"Analysis performed with warnings: The event window seems to include an unexpected number of days the firm's stock has not been traded on";120;-11;1999-05-26;1999-11-12;-0.059148700939746;-0.013439001861144;0.003198608902702;1.8679614100904;0.03873085608853;-0.021904927964048;-0.11617240622696
85914;"Best Buy";SP500;1999-06-22;"Analysis performed successfully";120;-11;1998-12-14;1999-06-07;0.022082018927445;-0.009725997261098;0.0013687194826029;2.0673037915942;0.059557660456307;-0.018737871532299;-0.050334212862207
